title,price,rating,image,description,url
"Ai+ Pulse (Sparkle Red, 64 GB)","₹5,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/w/t/-original-imahhc4czn6fswwz.jpeg?q=70,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/ai-pulse-sparkle-red-64-gb/p/itm7d46c6a5575f6
"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹15,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/x/a/note-50s-5g-x6870-infinix-original-imahed76tuzgybtk.jpeg?q=70,6 GB RAM | 128 GB ROM | 17.22 cm (6.78 inch) Full HD+ Display | 64MP + 2MP | 13MP Front Camera | 5500 mAh Battery | Dimensity 7300 Ultimate Processor | 1 Year Warranty for Handset and 6 Months Warranty for Accessories,https://www.flipkart.com/infinix-note-50s-5g-titanium-grey-128-gb/p/itmfbc62747a37e7
"POCO M7 Plus 5G (Aqua Blue, 128 GB)","₹11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/2/h/-original-imahf728kg9xghqz.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 50MP Rear Camera | 7000 mAh Battery | Snapdragon 6s Gen 3 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/poco-m7-plus-5g-aqua-blue-128-gb/p/itm7f065aa27b056
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹52,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/8/1/-original-imahfz2tenzpsd3p.jpeg?q=70,8 GB RAM | 256 GB ROM | 15.75 cm (6.2 inch) Full HD+ Display | 50MP + 12MP | 12MP Front Camera | 4000 mAh Battery | 8 Gen 3 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s24-5g-snapdragon-onyx-black-256-gb/p/itm0eb31619428e4
"realme P4 5G (Steel Grey, 128 GB)","₹16,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/d/-original-imahf47f6fgxwh9a.jpeg?q=70,6 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP + 8MP | 16MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7400 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-p4-5g-steel-grey-128-gb/p/itmf836e6de035a5
"vivo T4R 5G (Arctic White, 128 GB)","₹19,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/q/3/-original-imahfkvfzynqjjwz.jpeg?q=70,8 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP (OIS) + 2MP | 32MP Front Camera | 5700 mAh Battery | Dimensity 7400 5G Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-t4r-5g-arctic-white-128-gb/p/itm3a5653667cb9c
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/q/d/-original-imahgqnzf8kcnddy.jpeg?q=70,8 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Full HD+ Display | 50MP + 8MP | 32MP Front Camera | 5500 mAh Battery | 7s Gen 2 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,https://www.flipkart.com/motorola-g96-5g-pantone-greener-pastures-128-gb/p/itm24a26a0a5d263
"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)","₹10,566",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/e/1/narzo-80-lite-5g-rmx3933-realme-original-imahdeywdbwg7ktq.jpeg?q=70,4 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Display | 50MP Rear Camera | 6000 mAh Battery | 1 Year Warranty,https://www.flipkart.com/realme-narzo-80-lite-5g-onyx-black-128-gb/p/itm47ab7fdec3924
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70,8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP + 8MP | 50MP Front Camera | 7000 mAh Battery | Snapdragon 7 Gen 4 Mobile Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-p4-pro-5g-birch-wood-128-gb/p/itme41a54752cc21
"realme 15 Pro 5G (Velvet Green, 256 GB)","₹33,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/n/3/-original-imahezrzhdddaudb.jpeg?q=70,8 GB RAM | 256 GB ROM | 17.27 cm (6.8 inch) Display | 50MP + 50MP | 50MP Front Camera | 7000 mAh Battery | Snapdragon 7 Gen 4 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-15-pro-5g-velvet-green-256-gb/p/itm216cdbf4baea0
"POCO F7 5G (Frost White, 256 GB)","₹30,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/w/l/-original-imahdpu7udvckghp.jpeg?q=70,"12 GB RAM | 256 GB ROM | 17.35 cm (6.83 inch) Display | 50MP Rear Camera | 20MP Front Camera | 7550 mAh Li-Polymer + Silicon Carbon Battery | 8s Gen 4 Processor | Rear Camera
-50MP Sony Main Camera
-8MP Ultra-wide Camera with night mode and ultra-wide video recording | Front camera
-20MP with Portrait Mode | | Front Video Recording | Night Mode | Display
-6.83 inch 1.5K pOLED with 120 Hz refresh rate | Battery
7550mAh, 90W charger, 22.5W reverse charging | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",https://www.flipkart.com/poco-f7-5g-frost-white-256-gb/p/itm22bb5d3a241bd
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/a/6/-original-imahgjf9phdnsc5b.jpeg?q=70,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 8MP | 16MP Front Camera | 5000 mAh Battery | T760 Processor | 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology | 1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g35-5g-leaf-green-128-gb/p/itmf1ec516a5574d
"realme P4 5G (Engine Blue, 128 GB)","₹16,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/4/p/-original-imahf47e6gzt3ggw.jpeg?q=70,6 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP + 8MP | 16MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7400 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-p4-5g-engine-blue-128-gb/p/itmf836e6de035a5
"Ai+ Pulse (Green, 128 GB)","₹6,999",4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/3/d/-original-imahea37xrfzhuty.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/ai-pulse-green-128-gb/p/itmfb57bb5801c22
"realme 14 Pro+ 5G (Emerald Drift, 256 GB)","₹23,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/0/8/-original-imahfphevywtw6pd.jpeg?q=70,8 GB RAM | 256 GB ROM | 17.35 cm (6.83 inch) Display | 50MP + 50MP + 8MP | 32MP Front Camera | 6000 mAh Battery | 7s Gen 3 Mobile Platform Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-14-pro-5g-emerald-drift-256-gb/p/itmb5105a70ea6a6
"REDMI Note 14 SE 5G (Mystique White, 128 GB)","₹13,499",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/j/s/-original-imahg2z9zcwf6yyy.jpeg?q=70,6 GB RAM | 128 GB ROM | 16.94 cm (6.67 inch) Full HD+ Display | 50MP + 8MP + 2MP | 20MP Front Camera | 5110 mAh Battery | Dimensity 7025 Ultra Processor | 1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,https://www.flipkart.com/redmi-note-14-se-5g-mystique-white-128-gb/p/itm3ac3f82a0d665
"realme 15x 5G (Maroon Red, 128 GB)","₹17,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/y/w/-original-imahg8hanw3krgtv.jpeg?q=70,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.27 cm (6.8 inch) Display | 50MP Rear Camera | 50MP Front Camera | 7000 mAh Battery | Dimensity 6300 6nm Octa-core chipset Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-15x-5g-maroon-red-128-gb/p/itmcf22f2a57724f
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/4/j/-original-imahgjf92nfmtgbe.jpeg?q=70,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 8MP | 16MP Front Camera | 5000 mAh Battery | T760 Processor | 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology | 1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g35-5g-midnight-black-128-gb/p/itmd43b3633669c4
"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)","₹26,877",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/b/v/nord-ce5-5g-cph2717-oneplus-original-imaheywzcgshhdbv.jpeg?q=70,8 GB RAM | 256 GB ROM | 17.2 cm (6.77 inch) Display | 50MP Rear Camera | 7100 mAh Battery | 1 Year Warranty,https://www.flipkart.com/oneplus-nord-ce5-5g-nexus-blue-256-gb/p/itm9259708fe4e3c
"OnePlus Nord 5 (Phantom Grey, 256 GB)","₹31,760",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/v/6/nord-5-cph2707-oneplus-original-imahe6runxfkugaw.jpeg?q=70,8 GB RAM | 256 GB ROM | 17.35 cm (6.83 inch) Full HD+ AMOLED Display | 50MP + 50MP + 8MP | 50MP Front Camera | 6800 mAh Battery | Qualcomm® Snapdragon™ 8s Gen 3 Mobile Platform Processor | 1 Year manufacturer,https://www.flipkart.com/oneplus-nord-5-phantom-grey-256-gb/p/itma9ab5953fa9b9
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹33,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/4/n/-original-imahezrzhqnjdwjr.jpeg?q=70,8 GB RAM | 256 GB ROM | 17.27 cm (6.8 inch) Display | 50MP + 50MP | 50MP Front Camera | 7000 mAh Battery | Snapdragon 7 Gen 4 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-15-pro-5g-flowing-silver-256-gb/p/itm216cdbf4baea0
